Timestamp,City Name,Latitude,Longitude,FIR No.,Crime Type,Date Crime,Time Crime,Gender,Age,SafetyIndex
2019/12/10 12:52:02 PM GMT+5:30,Andheri,19.115154,72.866151,850,Murder,23-11-2019,15:00,Male,72,2
2019/12/10 12:56:40 PM GMT+5:30,Andheri,19.119719,72.847316,839,Theft,19-11-2019,18:30,Male,39,2
2019/12/10 12:59:08 PM GMT+5:30,Andheri,19.119415,72.847059,838,Theft,19-11-2019,16:49,Male,57,2
2019/12/10 1:03:00 PM GMT+5:30,Santacruz,19.082584,72.838128,575,Theft,20-11-2019,20:00,Female,30,2.7
2019/12/10 1:04:19 PM GMT+5:30,Andheri,19.116373,72.853582,835,Murder,18-11-2019,11:21,Male,35,2
2019/12/10 1:05:09 PM GMT+5:30,Santacruz,19.08514,72.837927,572,Robbery,19-11-2019,17:00,Male,31,2.7
2019/12/10 1:07:21 PM GMT+5:30,Santacruz,19.084682,72.832169,570,Theft,17-11-2019,20:53,Male,41,2.7
2019/12/10 1:11:29 PM GMT+5:30,Santacruz,19.082442,72.836192,569,Theft,17-11-2019,14:06,Male,65,2.7
2019/12/10 1:11:44 PM GMT+5:30,Andheri,19.11544,72.853367,835,Robbery,18-11-2019,11:21,Male,35,2
2019/12/10 1:12:56 PM GMT+5:30,Santacruz,19.076751,72.837428,567,Theft,16-11-2019,10:00,Male,22,2.7
2019/12/10 1:14:17 PM GMT+5:30,Santacruz,19.076982,72.831123,566,Theft,16-11-2019,11:37,Female,31,2.7
2019/12/10 1:14:50 PM GMT+5:30,Andheri,19.11259,72.86158,833,Theft,17-11-2019,13:30,Male,47,2
2019/12/10 1:15:50 PM GMT+5:30,Santacruz,19.074095,72.834153,562,Robbery,29-10-2019,17:31,Male,42,2.7
2019/12/10 1:17:45 PM GMT+5:30,Santacruz,19.075312,72.833928,557,Robbery,11-11-2019,17:37,Male,39,2.7
2019/12/10 1:18:27 PM GMT+5:30,Andheri,19.140516,72.82163,830,Murder,17-11-2019,08:47,Female,38,2
2019/12/10 1:19:18 PM GMT+5:30,Santacruz,19.079041,72.837721,552,Theft,05-11-2019,17:15,Male,42,2.7
2019/12/10 1:20:33 PM GMT+5:30,Andheri,19.139928,72.820793,828,Robbery,16-11-2019,22:00,Male,29,2
2019/12/10 1:21:04 PM GMT+5:30,Santacruz,19.0885,72.83289,549,Robbery,04-11-2019,15:00,Female,19,2.7
2019/12/10 1:22:01 PM GMT+5:30,Santacruz,19.08852,72.83288,548,Theft,02-11-2019,15:00,Male,26,2.7
2019/12/10 1:22:13 PM GMT+5:30,Andheri,19.141621,72.821458,821,Theft,15-11-2019,21:44,Male,26,2
2019/12/10 1:24:05 PM GMT+5:30,Andheri,19.141094,72.822091,820,Robbery,15-11-2019,17:00,Male,55,2
2019/12/10 1:25:59 PM GMT+5:30,Andheri,19.143628,72.819763,818,Robbery,13-11-2019,21:00,Female,43,2
2019/12/10 1:27:35 PM GMT+5:30,Andheri,19.145077,72.820932,816,Theft,13-11-2019,12:54,Male,58,2
2019/12/10 1:29:18 PM GMT+5:30,Andheri,19.143384,72.819773,815,Theft,12-11-2019,16:00,Male,30,2
2019/12/10 1:31:11 PM GMT+5:30,Santacruz,19.085146,72.830854,539,Theft,29-10-2019,02:52,Male,38,2.7
2019/12/10 1:31:23 PM GMT+5:30,Andheri,19.148198,72.823464,805,Theft,10-11-2019,16:05,Female,70,2
2019/12/10 1:33:09 PM GMT+5:30,Andheri,19.146475,72.824827,804,Theft,10-11-2019,02:28,Female,63,2
2019/12/10 1:34:43 PM GMT+5:30,Santacruz,19.085147,72.830855,534,Robbery,26-10-2019,03:50,Male,25,2.7
2019/12/10 1:34:59 PM GMT+5:30,Andheri,19.119927,72.852526,800,Theft,08-11-2019,01:21,Male,34,2
2019/12/10 1:36:26 PM GMT+5:30,Santacruz,19.082787,72.834534,531,Theft,16-10-2019,22:00,Female,44,2.7
2019/12/10 1:36:52 PM GMT+5:30,Andheri,19.113926,72.852612,799,Robbery,07-11-2019,20:16,Male,33,2
2019/12/10 1:37:47 PM GMT+5:30,Santacruz,19.079542,72.829399,519,Theft,13-10-2019,22:00,Male,53,2.7
2019/12/10 1:38:37 PM GMT+5:30,Andheri,19.121955,72.859478,796,Theft,06-11-2019,23:17,Male,16,2
2019/12/10 1:39:45 PM GMT+5:30,Santacruz,19.089511,72.833219,518,Robbery,14-10-2019,13:00,Male,25,2.7
2019/12/10 1:40:24 PM GMT+5:30,Andheri,19.114899,72.860165,794,Theft,06-11-2019,20:51,Female,67,2
2019/12/10 1:41:20 PM GMT+5:30,Santacruz,19.090024,72.840231,515,Theft,14-10-2019,01:00,Male,49,2.7
2019/12/10 1:42:24 PM GMT+5:30,Andheri,19.11499,72.859832,793,Robbery,06-11-2019,15:00,Female,76,2
2019/12/10 1:42:31 PM GMT+5:30,Santacruz,19.089606,72.835699,508,Theft,08-10-2019,15:00,Male,44,2.7
2019/12/10 1:44:28 PM GMT+5:30,Santacruz,19.090985,72.838219,470,Theft,16-09-2019,17:17,Female,41,2.7
2019/12/10 1:44:37 PM GMT+5:30,Andheri,19.114676,72.860122,790,Theft,06-11-2019,17:25,Male,25,2
2019/12/10 1:46:10 PM GMT+5:30,Santacruz,19.07705,72.830239,468,Robbery,14-09-2019,22:56,Female,67,2.7
2019/12/10 1:46:24 PM GMT+5:30,Andheri,19.11422,72.859221,787,Robbery,06-11-2019,16:06,Female,27,2
2019/12/10 1:48:30 PM GMT+5:30,Andheri,19.117738,72.851496,779,Robbery,04-11-2019,13:00,Male,29,2
2019/12/10 1:50:30 PM GMT+5:30,Andheri,19.118062,72.847977,782,Robbery,05-11-2019,13:52,Male,30,2
2019/12/10 1:52:16 PM GMT+5:30,Andheri,19.116602,72.855616,777,Theft,03-11-2019,02:15,Female,50,2
2019/12/10 1:54:10 PM GMT+5:30,Andheri,19.115791,72.856817,762,Theft,28-10-2019,20:30,Female,39,2
2019/12/10 1:56:04 PM GMT+5:30,Andheri,19.117494,72.853556,758,Theft,27-10-2019,13:19,Female,33,2
2019/12/10 1:58:03 PM GMT+5:30,Andheri,19.115224,72.860079,756,Robbery,26-10-2019,22:00,Male,24,2
2019/12/10 1:58:39 PM GMT+5:30,Sion,19.041114,72.865732,326,Robbery,16-11-2019,16:45,Male,50,3.5
2019/12/10 1:59:36 PM GMT+5:30,Andheri,19.108979,72.878275,755,Theft,26-10-2019,22:05,Male,30,2
2019/12/10 2:00:02 PM GMT+5:30,Sion,19.039112,72.863358,323,Theft,11-11-2019,13:32,Female,50,3.5
2019/12/10 2:01:13 PM GMT+5:30,Andheri,19.106221,72.874498,755,Theft,26-10-2019,22:44,Male,30,2
2019/12/10 2:01:21 PM GMT+5:30,Sion,19.039608,72.860419,312,Robbery,25-10-2019,09:18,Female,37,3.4
2019/12/10 2:02:52 PM GMT+5:30,Andheri,19.108411,72.878532,740,Theft,20-10-2019,01:10,Male,25,2
2019/12/10 2:03:15 PM GMT+5:30,Sion,19.040742,72.862457,297,Theft,11-10-2019,18:18,Male,32,3.3
2019/12/10 2:04:52 PM GMT+5:30,Vakola,19.078128,72.850898,667,Theft,16-11-2019,22:37,Male,22,2.9
2019/12/10 2:06:05 PM GMT+5:30,Vakola,19.076823,72.850184,665,Robbery,13-11-2019,03:52,Female,28,2.9
2019/12/10 2:07:50 PM GMT+5:30,Vakola,19.074717,72.849093,664,Theft,12-11-2019,18:51,Male,33,2.9
2019/12/10 2:10:24 PM GMT+5:30,Vakola,19.075008,72.852232,662,Theft,12-11-2019,14:35,Female,33,2.9
2019/12/10 3:06:10 PM GMT+5:30,Bandra,19.06029,72.833342,1186,Theft,30-11-2019,09:00,Male,35,2.5
2019/12/10 3:07:50 PM GMT+5:30,Bandra,19.056233,72.831539,1182,Theft,29-11-2019,05:00,Male,30,2.5
2019/12/10 3:09:18 PM GMT+5:30,Bandra,19.055097,72.83008,1181,Robbery,29-11-2019,00:25,Female,29,2.5
2019/12/10 3:10:46 PM GMT+5:30,Bandra,19.055016,72.827677,1179,Theft,28-11-2019,02:30,Female,29,2.5
2019/12/10 3:12:43 PM GMT+5:30,Bandra,19.055341,72.82905,1168,Robbery,24-11-2019,07:00,Male,52,2.5
2019/12/10 3:14:30 PM GMT+5:30,Bandra,19.045038,72.821411,1167,Theft,24-11-2019,03:30,Female,36,2.5
2019/12/10 3:16:01 PM GMT+5:30,Bandra,19.04593,72.827848,1153,Theft,20-11-2019,14:00,Female,21,2.5
2019/12/10 3:17:46 PM GMT+5:30,Bandra,19.04666,72.821325,1151,Robbery,19-11-2019,14:15,Male,82,2.5
2019/12/10 3:19:16 PM GMT+5:30,Bandra,19.047958,72.820639,1150,Robbery,18-11-2019,21:00,Male,24,2.5
2019/12/10 3:20:42 PM GMT+5:30,Bandra,19.055746,72.832312,1145,Robbery,15-11-2019,01:00,Male,26,2.5
2019/12/10 3:22:22 PM GMT+5:30,Bandra,19.055747,72.835831,1141,Robbery,13-11-2019,20:00,Female,36,2.5
2019/12/10 3:23:23 PM GMT+5:30,Vakola,19.074741,72.849365,653,Theft,11-11-2019,20:12,Male,38,2.9
2019/12/10 3:24:22 PM GMT+5:30,Bandra,19.055909,72.831968,1140,Theft,12-11-2019,23:45,Male,16,2.5
2019/12/10 3:24:54 PM GMT+5:30,Vakola,19.074922,72.854096,651,Theft,10-11-2019,07:37,Female,26,2.9
2019/12/10 3:26:41 PM GMT+5:30,Bandra Kurla Complex,19.066109,72.867992,362,Murder,25-11-2019,22:27,Male,27,2.3
2019/12/10 3:26:44 PM GMT+5:30,Vakola,19.076617,72.853588,647,Theft,07-11-2019,21:05,Female,20,2.9
2019/12/10 3:28:42 PM GMT+5:30,Bandra Kurla Complex,19.067122,72.865417,315,Theft,14-10-2019,01:47,Male,52,2.3
2019/12/10 3:29:06 PM GMT+5:30,Vakola,19.081378,72.854721,642,Robbery,04-11-2019,07:41,Male,27,2.9
2019/12/10 3:30:41 PM GMT+5:30,Vakola,19.082482,72.853715,641,Theft,04-11-2019,07:32,Male,50,2.9
2019/12/10 3:31:25 PM GMT+5:30,Byculla,18.972039,72.845144,503,Theft,18-10-2019,12:05,Male,19,2.9
2019/12/10 3:31:59 PM GMT+5:30,Vakola,19.080136,72.85023,635,Robbery,02-11-2019,00:02,Female,33,2.9
2019/12/10 3:33:02 PM GMT+5:30,Byculla,18.978128,72.847462,521,Theft,12-11-2019,12:20,Male,33,2.9
2019/12/10 3:34:47 PM GMT+5:30,Byculla,18.976098,72.846947,523,Robbery,13-11-2019,09:30,Male,52,2.8
2019/12/10 3:35:01 PM GMT+5:30,Vile Parle,19.096432,72.853452,569,Theft,22-11-2019,19:15,Male,24,3
2019/12/10 3:36:38 PM GMT+5:30,Vile Parle,19.094617,72.854282,568,Robbery,22-11-2019,19:30,Female,53,3
